Date,Open,High,Low,Close,Volume
2023-01-06 07:50:00,1.04917,1.04945,1.04913,1.04944,0.0
2023-01-06 07:51:00,1.04945,1.04953,1.04929,1.04933,0.0
2023-01-06 07:52:00,1.04933,1.04956,1.04931,1.04951,0.0
2023-01-06 07:53:00,1.04952,1.04959,1.04937,1.04952,0.0
2023-01-06 07:54:00,1.04953,1.04956,1.04944,1.04954,0.0
2023-01-06 07:55:00,1.04953,1.04954,1.04935,1.0494,0.0
2023-01-06 07:56:00,1.0494,1.04942,1.04935,1.04935,0.0
2023-01-06 07:57:00,1.04935,1.04937,1.04908,1.04915,0.0
2023-01-06 07:58:00,1.04917,1.04931,1.04912,1.0493,0.0
2023-01-06 07:59:00,1.04931,1.04963,1.04931,1.04945,0.0
2023-01-06 08:00:00,1.04944,1.04951,1.04899,1.04909,0.0
2023-01-06 08:01:00,1.04909,1.04939,1.04909,1.04914,0.0
2023-01-06 08:02:00,1.04913,1.04927,1.04903,1.04907,0.0
2023-01-06 08:03:00,1.04906,1.0492,1.04903,1.04911,0.0
2023-01-06 08:04:00,1.04912,1.04922,1.04901,1.04911,0.0
2023-01-06 08:05:00,1.0491,1.04913,1.04888,1.04889,0.0
2023-01-06 08:06:00,1.0489,1.04918,1.04889,1.04915,0.0
2023-01-06 08:07:00,1.04916,1.04929,1.04906,1.04917,0.0
2023-01-06 08:08:00,1.04916,1.04923,1.04902,1.04911,0.0
2023-01-06 08:09:00,1.04911,1.04939,1.04911,1.04933,0.0
2023-01-06 08:10:00,1.04932,1.04978,1.04932,1.04978,0.0
2023-01-06 08:11:00,1.04977,1.04993,1.04969,1.04989,0.0
2023-01-06 08:12:00,1.04989,1.05004,1.04989,1.04999,0.0
2023-01-06 08:13:00,1.05,1.0501,1.04982,1.04996,0.0
2023-01-06 08:14:00,1.04996,1.0501,1.0499,1.04996,0.0
2023-01-06 08:15:00,1.04994,1.05,1.04964,1.04966,0.0
2023-01-06 08:16:00,1.04965,1.04976,1.04959,1.04973,0.0
2023-01-06 08:17:00,1.0497,1.04972,1.04959,1.04965,0.0
2023-01-06 08:18:00,1.04966,1.04966,1.0495,1.04957,0.0
2023-01-06 08:19:00,1.04956,1.04968,1.04952,1.04953,0.0
2023-01-06 08:20:00,1.04954,1.04973,1.04953,1.04971,0.0
2023-01-06 08:21:00,1.04973,1.04979,1.04962,1.04975,0.0
2023-01-06 08:22:00,1.04976,1.04985,1.04966,1.04984,0.0
2023-01-06 08:23:00,1.04983,1.05005,1.04975,1.04986,0.0
2023-01-06 08:24:00,1.04986,1.04994,1.04959,1.04964,0.0
2023-01-06 08:25:00,1.04964,1.05004,1.04958,1.04999,0.0
2023-01-06 08:26:00,1.04998,1.05008,1.04994,1.04998,0.0
2023-01-06 08:27:00,1.05001,1.05001,1.04965,1.04972,0.0
2023-01-06 08:28:00,1.04973,1.04988,1.04966,1.04973,0.0
2023-01-06 08:29:00,1.04974,1.04977,1.04942,1.04942,0.0
2023-01-06 08:30:00,1.04942,1.05308,1.04823,1.05114,0.0
2023-01-06 08:31:00,1.05107,1.0515,1.05003,1.05025,0.0
2023-01-06 08:32:00,1.05023,1.05161,1.0499,1.05142,0.0
2023-01-06 08:33:00,1.05142,1.05142,1.05011,1.05075,0.0
2023-01-06 08:34:00,1.05078,1.05134,1.0501,1.05131,0.0
2023-01-06 08:35:00,1.05134,1.05209,1.05129,1.05193,0.0
2023-01-06 08:36:00,1.05192,1.05192,1.05068,1.0507,0.0
2023-01-06 08:37:00,1.05072,1.05089,1.05009,1.05086,0.0
2023-01-06 08:38:00,1.05088,1.05111,1.05006,1.05021,0.0
2023-01-06 08:39:00,1.05017,1.05017,1.04946,1.04994,0.0
2023-01-06 08:40:00,1.04996,1.05078,1.04982,1.05077,0.0
2023-01-06 08:41:00,1.0508,1.05145,1.0508,1.05105,0.0
2023-01-06 08:42:00,1.05105,1.05192,1.05097,1.05158,0.0
2023-01-06 08:43:00,1.05159,1.05232,1.05157,1.05232,0.0
2023-01-06 08:44:00,1.05236,1.0529,1.05227,1.05243,0.0
2023-01-06 08:45:00,1.05246,1.05308,1.05241,1.05286,0.0
2023-01-06 08:46:00,1.05285,1.05314,1.05206,1.05225,0.0
2023-01-06 08:47:00,1.05225,1.05316,1.0522,1.05316,0.0
2023-01-06 08:48:00,1.05316,1.05356,1.05277,1.05309,0.0
2023-01-06 08:49:00,1.05311,1.05332,1.05252,1.05258,0.0
2023-01-06 08:50:00,1.05257,1.05383,1.05255,1.05381,0.0
2023-01-06 08:51:00,1.05385,1.05448,1.05371,1.05437,0.0
2023-01-06 08:52:00,1.05437,1.05445,1.05373,1.0541,0.0
2023-01-06 08:53:00,1.05412,1.05421,1.05338,1.05354,0.0
2023-01-06 08:54:00,1.05354,1.05372,1.0533,1.05336,0.0
2023-01-06 08:55:00,1.05336,1.05401,1.05335,1.05371,0.0
2023-01-06 08:56:00,1.0537,1.05407,1.05356,1.0537,0.0
2023-01-06 08:57:00,1.05371,1.05399,1.05366,1.05397,0.0
2023-01-06 08:58:00,1.05398,1.05448,1.05396,1.05442,0.0
2023-01-06 08:59:00,1.05442,1.05449,1.05411,1.05424,0.0
2023-01-06 09:00:00,1.05424,1.05432,1.05364,1.05368,0.0
2023-01-06 09:01:00,1.05366,1.05386,1.05339,1.05378,0.0
2023-01-06 09:02:00,1.05378,1.05412,1.05369,1.05405,0.0
2023-01-06 09:03:00,1.05406,1.05415,1.05396,1.05408,0.0
2023-01-06 09:04:00,1.05407,1.05414,1.05379,1.05394,0.0
2023-01-06 09:05:00,1.05394,1.05415,1.05391,1.05406,0.0
2023-01-06 09:06:00,1.05407,1.05426,1.05401,1.05402,0.0
2023-01-06 09:07:00,1.05403,1.05413,1.05355,1.0536,0.0
2023-01-06 09:08:00,1.05361,1.05375,1.05294,1.05296,0.0
2023-01-06 09:09:00,1.05299,1.05306,1.05269,1.05295,0.0
2023-01-06 09:10:00,1.05294,1.05348,1.05293,1.05313,0.0
2023-01-06 09:11:00,1.05314,1.05324,1.05279,1.05279,0.0
2023-01-06 09:12:00,1.0528,1.05305,1.05271,1.05273,0.0
2023-01-06 09:13:00,1.05273,1.05307,1.05269,1.05293,0.0
2023-01-06 09:14:00,1.05295,1.05334,1.05289,1.05308,0.0
2023-01-06 09:15:00,1.05308,1.05329,1.05303,1.05323,0.0
2023-01-06 09:16:00,1.05325,1.05325,1.05284,1.0529,0.0
2023-01-06 09:17:00,1.05293,1.05303,1.05257,1.05264,0.0
2023-01-06 09:18:00,1.05266,1.05288,1.05259,1.05271,0.0
2023-01-06 09:19:00,1.05272,1.05289,1.0524,1.05253,0.0
2023-01-06 09:20:00,1.05252,1.05254,1.05218,1.05231,0.0
2023-01-06 09:21:00,1.05229,1.05242,1.05219,1.0523,0.0
2023-01-06 09:22:00,1.05231,1.0524,1.05219,1.05219,0.0
2023-01-06 09:23:00,1.0522,1.0522,1.05185,1.05194,0.0
2023-01-06 09:24:00,1.05197,1.05262,1.05194,1.05259,0.0
2023-01-06 09:25:00,1.0526,1.05284,1.05253,1.05281,0.0
2023-01-06 09:26:00,1.05281,1.05318,1.05263,1.05264,0.0
2023-01-06 09:27:00,1.05267,1.05308,1.05245,1.05251,0.0
2023-01-06 09:28:00,1.05251,1.05251,1.05199,1.05207,0.0
2023-01-06 09:29:00,1.05208,1.0521,1.05195,1.05207,0.0
2023-01-06 09:30:00,1.05206,1.05211,1.05178,1.05184,0.0
2023-01-06 09:31:00,1.05186,1.05232,1.0518,1.05228,0.0
2023-01-06 09:32:00,1.05227,1.05312,1.05227,1.0527,0.0
2023-01-06 09:33:00,1.0527,1.05306,1.05265,1.05283,0.0
2023-01-06 09:34:00,1.05284,1.05315,1.05274,1.05308,0.0
2023-01-06 09:35:00,1.05309,1.05333,1.05306,1.05313,0.0
2023-01-06 09:36:00,1.05314,1.05319,1.05248,1.05262,0.0
2023-01-06 09:37:00,1.05262,1.05275,1.05232,1.05246,0.0
2023-01-06 09:38:00,1.05246,1.05258,1.052,1.05206,0.0
2023-01-06 09:39:00,1.05205,1.05244,1.05199,1.05202,0.0
2023-01-06 09:40:00,1.05203,1.05208,1.05172,1.05184,0.0
2023-01-06 09:41:00,1.05183,1.05194,1.05133,1.05136,0.0
2023-01-06 09:42:00,1.05137,1.0514,1.05079,1.05107,0.0
2023-01-06 09:43:00,1.05108,1.0513,1.05084,1.05088,0.0
2023-01-06 09:44:00,1.05087,1.05087,1.05023,1.05034,0.0
2023-01-06 09:45:00,1.05034,1.05061,1.05008,1.05058,0.0
2023-01-06 09:46:00,1.05054,1.05088,1.05033,1.05074,0.0
2023-01-06 09:47:00,1.05074,1.05091,1.05056,1.05079,0.0
2023-01-06 09:48:00,1.05075,1.05109,1.05072,1.05073,0.0
2023-01-06 09:49:00,1.05072,1.0509,1.05055,1.05076,0.0
2023-01-06 09:50:00,1.05073,1.05133,1.05054,1.05126,0.0
2023-01-06 09:51:00,1.05126,1.05165,1.05114,1.05125,0.0
2023-01-06 09:52:00,1.05123,1.05147,1.051,1.05114,0.0
2023-01-06 09:53:00,1.05115,1.05141,1.05105,1.05122,0.0
2023-01-06 09:54:00,1.05122,1.05164,1.05115,1.05137,0.0
2023-01-06 09:55:00,1.05139,1.05175,1.05139,1.05166,0.0
2023-01-06 09:56:00,1.05167,1.05175,1.0512,1.0513,0.0
2023-01-06 09:57:00,1.05131,1.05159,1.05108,1.05114,0.0
2023-01-06 09:58:00,1.05116,1.05116,1.05061,1.05111,0.0
2023-01-06 09:59:00,1.05109,1.05109,1.0506,1.05083,0.0
2023-01-06 10:00:00,1.05089,1.05408,1.05079,1.05271,0.0
2023-01-06 10:01:00,1.0527,1.05316,1.05244,1.05277,0.0
2023-01-06 10:02:00,1.05277,1.05403,1.05277,1.05387,0.0
2023-01-06 10:03:00,1.05388,1.05415,1.05346,1.05346,0.0
2023-01-06 10:04:00,1.0535,1.05409,1.05345,1.0539,0.0
2023-01-06 10:05:00,1.05394,1.05555,1.05394,1.05547,0.0
2023-01-06 10:06:00,1.05544,1.05566,1.05467,1.05468,0.0
2023-01-06 10:07:00,1.05468,1.05566,1.05419,1.05543,0.0
